Date,Time,Screen Name,Scenario Name,AWB Number,Origin,Destination,Product Code,Agent Code,Shipper Code,Consignee Code,Commodity Code,Pieces,Weight
02-08-2024,19:32:57,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-30075032,SEA, JFK,GOLDSTREAK,10763,10763,10763,NONSCR,2,55
02-08-2024,19:55:51,CAP018,CAP018_BKG_00003_Create a booking for an unknown shipper on a pax flight,027-33492093,SAN,JFK,GOLDSTREAK,ASQXGUEST,C1001,C1001,NONSCR,2,55
02-08-2024,20:06:59,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-74327234,SAN,JFK,GOLDSTREAK,10763,10763,10763,NONSCR,2,55
03-08-2024,19:37:22,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-74327271,SAN,JFK,GOLDSTREAK,10763,10763,10763,NONSCR,2,55
03-08-2024,20:19:09,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-30075065,SAN,JFK,GOLDSTREAK,10763,10763,10763,NONSCR,2,55
03-08-2024,20:55:23,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-30075080,SEA,LAX,GENERAL,10763,10763,10763,NONSCR,13,775
04-08-2024,11:07:00,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-30075091,SEA,LAX,GENERAL,10763,10763,10763,NONSCR,13,775
04-08-2024,11:28:52,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-74327282,SEA,LAX,GENERAL,10763,10763,10763,NONSCR,13,775
04-08-2024,11:52:09,CAP018,CAP018_BKG_00003_Create a booking for an unknown shipper on a pax flight,027-33492233,SAN,JFK,GOLDSTREAK,ASQXGUEST,C1001,C1001,NONSCR,2,55
04-08-2024,12:06:01,CAP018,CAP018_BKG_00003_Create a booking for an unknown shipper on a pax flight,027-33492255,SAN,JFK,GOLDSTREAK,ASQXGUEST,C1001,C1001,NONSCR,2,55
05-08-2024,15:50:56,CAP018,CAP018_BKG_00001_iCargo Login and Create New Shipment,027-30075102,SEA,LAX,GENERAL,10763,10763,10763,NONSCR,13,775
06-08-2024,12:35:24,LTE001,LTE001_ACC_00001_Create a PP AWB in LTE001 for a known shipper,027-30244616,ANC,SEA,11377,11377,11377,GENERAL,NONSCR,13,775
